Observation,C,Year
1,9,3
2,8,3
3,7,1
4,12,1
5,14,1
6,11,1
7,10,1
8,7,1
9,8,1
10,6,1
11,10,1
12,8,1
13,7,1
14,8,2
15,6,1
16,10,3
17,10,2
18,6,2
19,9,1
20,6,1
21,3,1
22,7,1
23,9,1
24,7,1
25,9,1
26,15,1
27,9,1
28,5,1
29,8,1
30,10,1
31,7,1
32,6,1
33,8,1
34,8,1
35,7,1
36,9,1
37,8,1
38,6,1
39,8,1
40,5,1
41,8,1
42,8,1
43,6,1
44,10,1
45,4,1
46,6,1
47,1,1
48,4,1
49,6,1
50,8,1
51,9,1
52,11,1
53,8,1
54,12,1
55,7,1
56,13,1
57,10,1
58,6,1
59,7,1
60,5,1
61,10,1
62,4,1
63,9,1
64,7,1
65,7,1
66,11,1
67,11,1
68,7,1
69,9,1
70,7,1
71,4,1
72,12,1
73,8,1
74,7,1
75,8,1
76,8,1
77,8,1
78,8,1
79,5,1
80,8,1
81,5,1
82,5,1
83,6,1
84,6,1
85,8,1
86,7,1
87,10,1
88,10,1
89,8,1
90,6,1
91,8,1
92,9,1
93,12,1
94,12,1
95,11,1
96,8,1
97,7,1
98,9,1
99,9,1
100,2,1
101,8,1
102,9,1
103,9,1
104,10,1
105,11,1
106,10,1
107,11,1
108,8,1
109,6,1
110,6,1
111,11,1
112,7,1
113,8,1
114,7,1
115,9,1
116,9,1
117,9,1
118,6,1
119,10,1
120,10,1
121,10,1
122,8,1
123,11,1
124,9,1
125,8,1
126,8,1
127,9,1
128,8,1
129,10,1
130,11,1
131,8,1
132,11,1
133,6,1
134,7,1
135,6,1
136,7,1
137,11,1
138,9,1
139,8,1
140,9,1
141,6,1
142,9,1
143,6,1
144,5,1
145,8,1
146,8,1
147,8,1
148,9,1
149,10,1
150,7,1
151,6,1
152,8,1
153,10,1
154,6,1
155,7,1
156,8,1
157,8,1
158,12,1
159,4,1
160,9,1
161,10,1
162,7,1
163,8,1
164,8,1
165,6,1
166,8,1
167,12,1
168,6,1
169,11,1
170,8,1
171,9,1
172,9,1
173,8,1
174,7,1
175,12,1
176,5,1
177,9,1
178,7,1
179,7,1
180,10,1
181,7,1
182,7,1
183,7,1
184,9,1
185,10,1
186,5,1
187,10,1
188,7,1
189,8,1
190,10,1
191,8,1
192,9,1
193,9,1
194,8,1
195,5,1
196,7,1
197,8,1
198,7,1
199,10,1
200,4,1
201,9,1
202,7,1
203,8,1
204,8,1
205,2,2
206,9,2
207,8,2
208,9,2
209,6,2
210,8,2
211,9,2
212,8,2
213,8,2
214,9,2
215,9,2
216,8,2
217,11,2
218,11,2
219,10,2
220,9,2
221,8,2
222,7,2
223,10,2
224,7,2
225,4,2
226,4,2
227,6,2
228,4,2
229,6,2
230,6,2
231,6,2
232,8,2
233,8,2
234,7,2
235,6,2
236,6,2
237,9,2
238,10,2
239,8,2
240,10,2
241,9,2
242,15,2
243,5,2
244,11,2
245,6,2
246,8,2
247,9,2
248,8,2
249,10,2
250,10,2
251,10,2
252,11,2
253,11,2
254,12,2
255,9,2
256,13,2
257,7,2
258,11,2
259,6,2
260,10,2
261,8,2
262,6,2
263,12,2
264,8,2
265,10,2
266,8,2
267,11,2
268,6,2
269,6,2
270,8,2
271,12,2
272,8,2
273,7,2
274,6,2
275,9,2
276,8,2
277,5,2
278,7,2
279,8,2
280,9,2
281,5,2
282,8,2
283,7,2
284,7,2
285,9,2
286,9,2
287,13,2
288,11,2
289,9,2
290,9,2
291,7,2
292,1,2
293,10,2
294,10,2
295,6,2
296,9,2
297,8,2
298,9,2
299,4,2
300,6,2
301,8,2
302,8,2
303,10,2
304,7,2
305,9,2
306,9,2
307,8,2
308,11,2
309,8,2
310,10,2
311,9,2
312,11,2
313,9,2
314,10,2
315,10,2
316,8,2
317,9,2
318,10,2
319,6,2
320,11,2
321,9,2
322,11,2
323,3,2
324,8,2
325,6,2
326,10,2
327,8,2
328,8,2
329,11,2
330,8,2
331,8,2
332,8,2
333,10,2
334,7,2
335,4,2
336,8,2
337,6,2
338,12,2
339,6,2
340,10,2
341,8,2
342,10,2
343,2,3
344,8,3
345,3,3
346,9,3
347,6,3
348,9,3
349,7,3
350,10,3
351,9,3
352,8,3
353,10,3
354,12,3
355,12,1
356,12,1
357,8,1
358,9,1
359,8,1
360,8,1
361,8,2
362,8,2
363,12,2
364,9,3
365,10,3
366,8,3
367,8,3
368,9,3
369,9,3
370,9,3
371,9,3
372,9,3
373,9,3
374,9,3
375,9,3
376,10,3
377,8,3
378,9,3
379,8,3
380,5,3
381,5,3
382,9,3
383,10,3
384,6,3
385,12,3
386,9,3
387,4,3
388,10,3
389,9,3
390,5,3
391,8,3
392,9,2
393,8,2
394,6,2
395,11,2
396,6,2
397,7,2
398,7,2
399,7,3
400,7,3
401,8,3
402,8,2
403,9,2
404,7,2
405,9,2
406,12,3
407,9,2
408,9,3
409,9,2
410,9,2
411,8,2
412,11,2
413,3,2
414,10,2
415,10,2
416,9,2
417,9,2
418,10,2
419,6,2
420,9,2
421,9,2
422,5,2
423,8,2
424,6,2
425,9,3
426,8,3
427,5,3
428,9,3
429,10,3
430,6,3
431,5,1
432,7,1
433,6,1
434,6,1
435,8,1
436,6,1
437,7,1
438,8,1
439,7,1
440,6,1
441,8,1
442,6,1
443,9,1
444,8,1
445,6,1
446,9,1
447,5,1
448,5,1
449,5,1
450,6,1
451,3,1
452,7,1
453,7,1
454,8,1
455,9,1
456,9,1
457,8,1
458,6,1
459,8,1
460,8,1
461,9,1
462,9,1
463,12,1
464,9,1
465,8,3
466,9,3
467,6,1
468,7,1
469,11,3
470,9,3
471,9,3
472,4,3
473,8,3
474,11,3
475,5,3
476,8,3
477,10,3
478,9,3
479,9,3
480,8,3
481,10,3
482,5,3
483,12,3
484,11,3
485,9,3
486,8,3
487,8,3
488,6,2
489,10,2
490,4,2
491,4,2
492,10,2
493,8,2
494,9,2
495,11,1
496,10,1
497,9,1
498,8,1
499,15,3
500,8,3
501,7,3
502,7,3
503,9,3
504,8,3
505,4,3
506,7,3
507,7,3
508,7,3
509,9,3
510,9,3
511,11,3
512,9,3
513,10,3
514,5,3
515,10,3
516,9,3
517,9,3
518,9,3
519,10,3
520,8,3
521,9,3
522,5,3
523,9,3
524,10,3
525,7,3
526,10,3
527,11,3
528,11,3
529,11,3
530,10,3
531,12,3
532,12,3
533,9,3
534,11,3
535,9,3
536,10,3
537,8,3
538,7,3
539,12,3
540,10,3
541,10,3
542,10,3
543,8,3
544,8,3
545,9,3
546,10,3
547,10,3
548,5,3
549,11,3
550,8,3
551,12,2
552,9,2
553,9,2
554,7,3
555,8,3
556,7,3
557,8,3
558,8,3
559,8,3
560,9,3
561,8,3
562,8,3
563,6,3
564,5,3
565,6,3
566,11,3
567,6,3
568,7,3
569,9,3
570,9,3
571,11,3
572,8,2
573,10,2
574,4,3
575,10,1
576,6,2
577,8,2
578,10,2
579,6,3
580,7,1
581,6,1
582,11,1
583,9,1
584,11,1
585,10,1
586,4,2
587,3,2
588,6,2
589,9,3
590,8,3
591,8,3
592,9,2
593,7,3
594,8,3
595,9,1
596,9,1
597,11,1
598,7,2
599,5,3
600,8,3
601,12,3
602,3,3
603,12,3
604,9,3
605,8,3
606,12,3
607,10,3
608,8,3
609,7,3
610,8,3
611,8,3
612,8,3
613,8,3
614,7,3
615,9,3
616,1,3
617,9,3
618,9,3
619,11,3
620,10,1
621,7,1
622,11,2
623,10,3
624,8,3
625,10,3
626,9,1
627,9,1
628,7,1
629,7,1
630,6,1
631,9,1
632,9,2
633,8,2
634,8,2
635,7,2
636,9,2
637,11,2
638,4,2
639,8,2
640,7,2
641,10,2
642,9,2
643,8,2
644,10,2
645,10,2
646,8,2
647,5,2
648,7,2
649,11,3
650,9,3
651,7,3
652,10,3
653,6,3
654,10,3
655,7,3
656,6,3
657,6,3
658,6,3
659,8,3
660,8,3
661,7,3
662,5,3
663,8,3
664,9,3
665,9,3
666,9,3
667,10,3
668,6,3
669,9,3
670,6,1
671,7,1
672,8,1
673,7,1
674,8,1
675,8,1
676,16,1
677,7,1
678,5,1
679,2,1
680,8,1
681,8,2
682,7,2
683,7,2
684,11,2
685,10,2
686,9,2
687,9,2
688,5,2
689,8,2
690,3,2
691,8,2
692,8,2
693,4,2
694,10,2
695,9,2
696,10,2
697,7,2
698,8,2
699,8,2
700,9,2
701,10,2
702,8,1
703,7,2
704,9,3
705,3,3
706,11,1
707,10,1
708,9,1
709,9,1
710,6,1
711,8,2
712,8,3
713,8,3
714,6,3
715,9,3
716,11,3
717,8,3
718,9,3
719,8,3
720,6,3
721,4,1
722,8,3
723,7,3
724,5,3
725,11,1
726,8,1
727,6,1
728,12,1
729,7,2
730,8,2
731,12,2
732,8,1
733,8,1
734,9,1
735,10,1
736,6,1
737,9,1
738,7,1
739,8,1
740,7,1
741,7,1
742,10,1
743,5,1
744,8,1
745,10,1
746,12,2
747,11,2
748,9,2
749,6,2
750,7,2
751,9,2
752,9,2
753,9,2
754,10,2
755,8,2
756,10,2
757,7,2
758,9,2
759,7,2
760,7,2
761,8,2
762,7,2
763,10,2
764,10,2
765,6,2
766,8,2
767,7,2
768,8,2
769,12,2
770,12,3
771,10,3
772,8,3
773,9,3
774,9,3
775,10,3
776,8,3
777,9,3
778,8,3
779,8,3
780,10,3
781,8,3
782,10,3
783,8,3
784,10,3
785,13,3
786,10,1
787,8,1
788,8,1
789,10,1
790,7,1
791,8,1
792,10,1
793,2,1
794,7,1
795,11,1
796,9,1
797,8,1
798,6,1
799,8,1
800,10,1
801,8,1
802,4,1
803,8,1
804,6,1
805,6,1
806,7,1
807,5,1
808,5,1
809,2,1
810,7,1
811,8,1
812,10,1
813,9,1
814,10,1
815,8,1
816,5,1
817,9,1
818,7,1
819,6,1
820,3,1
821,8,1
822,6,1
823,8,1
824,12,1
825,8,1
826,8,1
827,7,1
828,10,1
829,10,1
830,10,1
831,7,1
832,12,1
833,11,1
834,9,1
835,9,1
836,7,1
837,9,1
838,9,1
839,6,1
840,13,1
841,13,1
842,8,1
843,8,1
844,9,1
845,8,1
846,8,1
847,10,1
848,6,1
849,6,1
850,8,1
851,9,1
852,9,1
853,10,1
854,9,1
855,9,1
856,9,1
857,12,2
858,13,2
859,9,2
860,9,2
861,8,2
862,8,2
863,8,2
864,9,2
865,9,2
866,11,2
867,14,2
868,8,2
869,3,2
870,9,2
871,3,2
872,11,2
873,11,2
874,8,2
875,8,2
876,4,2
877,9,2
878,7,2
879,8,2
880,7,2
881,9,2
882,10,2
883,8,2
884,12,2
885,8,2
886,8,2
887,10,2
888,9,2
889,5,2
890,9,2
891,11,2
892,9,2
893,8,2
894,11,2
895,8,2
896,8,2
897,6,2
898,10,2
899,1,2
900,10,2
901,4,2
902,7,2
903,10,2
904,9,2
905,8,2
906,8,2
907,8,2
908,3,2
909,2,2
910,10,2
911,11,2
912,8,2
913,9,2
914,9,2
915,7,2
916,7,2
917,12,2
918,11,2
919,8,2
920,5,2
921,9,2
922,8,2
923,7,2
924,6,2
925,9,2
926,7,2
927,8,2
928,7,2
929,12,3
930,12,3
931,7,3
932,10,3
933,13,3
934,13,3
935,6,3
936,7,3
937,8,3
938,5,3
939,10,3
940,5,3
941,10,3
942,11,3
943,10,3
944,5,3
945,11,3
946,11,3
947,3,3
948,8,3
949,7,3
950,4,3
951,6,3
952,8,3
953,5,3
954,5,3
955,8,3
956,6,3
957,8,3
958,9,3
959,8,3
960,12,3
961,10,3
962,7,3
963,8,3
964,7,3
965,11,3
966,7,3
967,10,3
968,9,3
969,8,3
970,11,3
971,9,3
972,8,3
973,10,1
974,9,2
975,8,3
976,10,3
977,8,3
978,8,3
979,7,3
980,9,3
981,12,2
982,8,2
983,9,2
984,9,3
985,12,2
986,10,2
987,12,2
988,8,2
989,10,2
990,6,3
991,10,3
992,6,3
993,9,3
994,6,3
995,7,3
996,10,3
997,10,3
998,8,3
999,8,3
1000,8,1
1001,9,1
1002,7,1
1003,6,1
1004,10,1
1005,4,1
1006,6,1
1007,9,1
1008,6,1
1009,6,1
1010,7,1
1011,10,1
1012,9,3
1013,8,3
1014,8,3
1015,12,3
1016,11,3
1017,8,3
1018,6,3
1019,8,3
1020,9,3
1021,7,3
1022,9,3
1023,10,3
1024,6,3
1025,8,3
1026,8,2
1027,10,2
1028,8,2
1029,10,3
1030,10,3
1031,7,3
1032,9,1
1033,10,1
1034,12,1
1035,8,1
1036,8,1
1037,8,1
1038,8,1
1039,7,1
1040,7,1
1041,10,2
1042,10,2
1043,9,2
1044,9,2
1045,8,2
1046,6,2
1047,7,2
1048,9,2
1049,8,2
1050,10,2
1051,6,2
1052,9,2
1053,6,2
1054,6,2
1055,8,2
1056,9,2
1057,11,2
1058,7,1
1059,10,1
1060,8,1
1061,7,3
1062,7,3
1063,9,2
1064,10,2
1065,7,2
1066,11,2
1067,9,2
1068,8,2
1069,12,2
1070,8,2
1071,12,2
1072,10,2
1073,10,2
1074,9,2
1075,8,2
1076,6,2
1077,6,2
1078,7,2
1079,9,2
1080,11,2
1081,7,2
1082,8,4
1083,9,4
1084,8,4
1085,9,4
1086,10,4
1087,8,4
1088,7,4
