Observation,Count1,Count2,Interval,Mean_age,Year,Age
1,2,2,6,6,1,-0.948254038
2,12,10,3,11.5,1,-0.502210198
3,6,6,2,4,1,-1.110451799
4,8,8,1,3.5,1,-1.151001239
5,12,10,3,32.5,1,1.200866285
6,7,7,10,22,1,0.349328043
7,9,9,3,25.5,1,0.633174124
8,5,3,3,4.5,1,-1.069902359
9,3,3,2,7,1,-0.867155158
10,3,3,1,8.5,1,-0.745506838
11,3,3,4,11,1,-0.542759638
12,3,3,1,13.5,1,-0.340012438
13,3,3,2,15,1,-0.218364117
14,3,3,4,18,1,0.024932523
15,3,3,1,20.5,1,0.227679723
16,3,3,1,21.5,1,0.308778603
17,3,3,2,23,1,0.430426924
18,3,3,2,25,1,0.592624684
19,3,3,1,26.5,1,0.714273004
20,3,3,1,27.5,1,0.795371884
21,3,3,1,28.5,1,0.876470764
22,3,3,1,29.5,1,0.957569644
23,3,3,1,30.5,1,1.038668524
24,3,2,3,32.5,1,1.200866285
25,2,1,3,35.5,1,1.444162925
26,6,4,3,18.5,1,0.065481963
27,5,5,21,20.5,1,0.227679723
28,5,5,6,34,1,1.322514605
29,11,8,6,6,1,-0.948254038
30,10,10,1,5.5,1,-0.988803478
31,10,10,2,7,1,-0.867155158
32,10,9,6,11,1,-0.542759638
33,9,9,2,15,1,-0.218364117
34,9,9,1,16.5,1,-0.096715797
35,9,9,6,20,1,0.187130283
36,9,9,1,23.5,1,0.470976364
37,9,9,2,25,1,0.592624684
38,9,9,9,30.5,1,1.038668524
39,9,9,4,37,1,1.565811245
40,9,9,4,41,1,1.890206765
41,9,9,5,45.5,1,2.255151726
42,9,9,3,49.5,1,2.579547246
43,5,2,10,22,1,0.349328043
44,11,11,1,3.5,1,-1.151001239
45,11,11,1,4.5,1,-1.069902359
46,11,7,21,15.5,1,-0.177814677
47,7,7,1,26.5,1,0.714273004
48,7,7,4,29,1,0.917020204
49,7,7,11,36.5,1,1.525261805
50,7,7,6,45,1,2.214602286
51,7,7,1,48.5,1,2.498448366
52,7,7,2,50,1,2.620096686
53,6,6,7,13.5,1,-0.340012438
54,6,4,4,19,1,0.106031403
55,8,5,4,5,1,-1.029352918
56,7,7,2,11,1,-0.542759638
57,7,5,6,15,1,-0.218364117
58,5,5,5,20.5,1,0.227679723
59,5,5,5,25.5,1,0.633174124
60,5,5,13,34.5,1,1.363064045
61,6,6,6,6,1,-0.948254038
62,6,6,9,13.5,1,-0.340012438
63,6,4,7,6.5,1,-0.907704598
64,10,10,2,4,1,-1.110451799
65,10,10,4,7,1,-0.867155158
66,10,9,4,11,1,-0.542759638
67,9,6,4,15,1,-0.218364117
68,8,8,3,20.5,1,0.227679723
69,8,8,6,25,1,0.592624684
70,8,8,9,32.5,1,1.200866285
71,8,8,5,39.5,1,1.768558445
72,8,8,6,45,1,2.214602286
73,8,8,6,51,1,2.701195567
74,4,4,2,4,1,-1.110451799
75,4,3,3,6.5,1,-0.907704598
76,3,2,1,8.5,1,-0.745506838
77,2,2,13,15.5,1,-0.177814677
78,2,2,15,29.5,1,0.957569644
79,7,4,7,6.5,1,-0.907704598
80,4,2,7,13.5,1,-0.340012438
81,1,1,15,17.5,1,-0.015616917
82,1,1,22,36,1,1.484712365
83,9,9,3,25.5,1,0.633174124
84,4,2,2,18,1,0.024932523
85,4,4,1,24.5,1,0.552075244
86,11,11,14,10,1,-0.623858518
87,4,4,27,16.5,1,-0.096715797
88,4,4,4,32,1,1.160316845
89,4,4,16,42,1,1.971305646
90,4,3,9,28.5,1,0.876470764
91,1,1,7,34.5,1,1.363064045
92,1,1,4,40,1,1.809107885
93,1,1,2,43,1,2.052404526
94,5,5,6,20,1,0.187130283
95,8,3,16,11,1,-0.542759638
96,5,5,6,13,1,-0.380561878
97,11,2,24,15,1,-0.218364117
98,9,8,2,4,1,-1.110451799
99,2,2,4,19,1,0.106031403
100,3,3,8,7,1,-0.867155158
101,7,7,3,4.5,1,-1.069902359
102,6,1,3,4.5,1,-1.069902359
103,16,0,7,6.5,1,-0.907704598
104,9,9,5,19.5,1,0.146580843
105,9,9,6,25,1,0.592624684
106,9,7,10,38,1,1.646910125
107,7,3,1,3.5,1,-1.151001239
108,3,0,1,4.5,1,-1.069902359
109,5,5,2,5,1,-1.029352918
110,5,2,2,7,1,-0.867155158
111,2,0,1,8.5,1,-0.745506838
112,5,5,4,19,1,0.106031403
113,5,5,12,27,1,0.754822444
114,5,5,14,40,1,1.809107885
115,5,4,1,3.5,1,-1.151001239
116,4,3,2,5,1,-1.029352918
117,5,4,12,16,1,-0.137265237
118,10,9,5,5.5,1,-0.988803478
119,9,7,5,10.5,1,-0.583309078
120,11,7,16,11,1,-0.542759638
121,7,6,9,23.5,1,0.470976364
122,7,7,16,11,1,-0.542759638
123,7,7,9,28.5,1,0.876470764
124,7,7,7,36.5,1,1.525261805
125,8,7,8,7,1,-0.867155158
126,8,8,14,10,1,-0.623858518
127,5,5,3,4.5,1,-1.069902359
128,4,2,11,10.5,1,-0.583309078
129,2,1,20,26,1,0.673723564
130,1,1,1,36.5,1,1.525261805
131,7,7,15,38.5,1,1.687459565
132,10,0,3,5.5,1,-0.988803478
133,12,5,3,6.5,1,-0.907704598
134,5,3,5,10.5,1,-0.583309078
135,3,1,2,14,1,-0.299462997
136,1,1,11,20.5,1,0.227679723
137,4,0,1,3.5,1,-1.151001239
138,12,3,3,4.5,1,-1.069902359
139,3,2,14,13,1,-0.380561878
