Observation,C,Hatched,Year
1,9,9,2005
2,8,8,2005
3,7,7,2003
4,12,12,2003
5,14,12,2003
6,11,10,2003
7,10,10,2003
8,8,8,2003
9,6,6,2003
10,8,8,2004
11,6,6,2003
12,10,10,2005
13,10,10,2004
14,6,6,2004
15,9,9,2003
16,3,3,2003
17,7,7,2003
18,9,9,2003
19,7,7,2003
20,9,9,2003
21,5,5,2003
22,8,5,2003
23,10,10,2003
24,7,4,2003
25,6,6,2003
26,8,8,2003
27,8,4,2003
28,7,7,2003
29,9,7,2003
30,8,5,2003
31,8,7,2003
32,8,6,2003
33,8,8,2003
34,6,6,2003
35,10,10,2003
36,4,4,2003
37,6,6,2003
38,4,4,2003
39,6,5,2003
40,8,8,2003
41,9,9,2003
42,11,11,2003
43,8,7,2003
44,12,12,2003
45,7,7,2003
46,13,3,2003
47,7,7,2003
48,5,5,2003
49,10,10,2003
50,4,4,2003
51,9,9,2003
52,7,7,2003
53,7,7,2003
54,11,11,2003
55,11,11,2003
56,7,7,2003
57,9,9,2003
58,7,7,2003
59,4,4,2003
60,12,12,2003
61,8,8,2003
62,7,7,2003
63,8,8,2003
64,8,8,2003
65,8,8,2003
66,8,8,2003
67,5,5,2003
68,8,8,2003
69,5,5,2003
70,5,5,2003
71,6,6,2003
72,6,6,2003
73,8,8,2003
74,7,7,2003
75,10,10,2003
76,10,10,2003
77,8,8,2003
78,6,6,2003
79,8,8,2003
80,9,8,2003
81,12,12,2003
82,12,12,2003
83,11,8,2003
84,8,8,2003
85,9,9,2003
86,8,8,2003
87,9,9,2003
88,9,9,2003
89,10,10,2003
90,11,11,2003
91,10,10,2003
92,11,7,2003
93,8,8,2003
94,6,6,2003
95,11,11,2003
96,7,7,2003
97,9,7,2003
98,9,9,2003
99,10,10,2003
100,10,9,2003
101,8,8,2003
102,9,9,2003
103,8,8,2003
104,8,8,2003
105,9,9,2003
106,8,8,2003
107,10,10,2003
108,11,10,2003
109,8,8,2003
110,11,11,2003
111,7,7,2003
112,11,11,2003
113,9,6,2003
114,8,8,2003
115,9,9,2003
116,6,6,2003
117,9,9,2003
118,5,5,2003
119,8,8,2003
120,8,8,2003
121,10,8,2003
122,7,7,2003
123,6,5,2003
124,10,10,2003
125,6,6,2003
126,7,5,2003
127,8,7,2003
128,8,8,2003
129,12,9,2003
130,4,4,2003
131,9,8,2003
132,10,10,2003
133,8,6,2003
134,8,6,2003
135,6,6,2003
136,8,8,2003
137,12,9,2003
138,6,6,2003
139,8,8,2003
140,9,9,2003
141,9,8,2003
142,8,8,2003
143,7,7,2003
144,12,12,2003
145,5,5,2003
146,9,9,2003
147,7,7,2003
148,7,4,2003
149,10,10,2003
150,7,6,2003
151,9,9,2003
152,10,10,2003
153,5,5,2003
154,8,8,2003
155,9,9,2003
156,8,8,2003
157,5,5,2003
158,7,7,2003
159,8,8,2003
160,7,7,2003
161,10,10,2003
162,4,4,2003
163,9,9,2003
164,7,7,2003
165,8,8,2003
166,8,8,2003
167,2,2,2004
168,9,9,2004
169,8,8,2004
170,9,9,2004
171,6,6,2004
172,8,8,2004
173,9,9,2004
174,9,7,2004
175,9,9,2004
176,8,8,2004
177,11,11,2004
